,date,ticker,revenues,net_income_loss_attributable_to_parent
0,2020-01-01,WFC,,
1,2020-04-01,WFC,,
2,2020-07-01,WFC,,
3,2020-10-01,WFC,,
4,2021-01-01,WFC,,
5,2021-04-01,WFC,,
